2026-04-16 10:57:19,733 STEP: op=8,0,0,0 executed_steps=11 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,843 STEP: op=2,0,2,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:19,945 STEP: op=2,0,2,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:20,558 STEP: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:21,285 STEP: op=7,0,5,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:23,736 STEP: op=2,0,1,1 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:25,129 STEP: op=5,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:25,571 STEP: op=6,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:28,442 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:28,442 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:28,442 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:28,442 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:28,442 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:28,443 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:28,906 STEP: op=2,1,2,2 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:29,216 STEP: op=16,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:29,273 STEP: op=12,1,6055,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:29,325 STEP: op=12,1,6310,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:29,377 STEP: op=12,1,3106,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:29,431 STEP: op=11,1,1,2 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:29,511 STEP: op=10,-1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:29,974 STEP: op=5,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,614 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,614 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,614 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,614 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,614 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,614 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:34,615 STEP: op=8,0,0,0 executed_steps=14 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:35,306 STEP: op=6,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin'}
2026-04-16 10:57:35,827 STEP: op=5,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin'}
2026-04-16 10:57:35,881 STEP: op=18,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created'}
2026-04-16 10:57:35,935 STEP: op=22,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'blocked', 1: 'created'}
2026-04-16 10:57:36,747 STEP: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'blocked', 1: 'created'}
2026-04-16 10:57:37,429 STEP: op=6,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'blocked', 1: 'created'}
2026-04-16 10:57:39,905 EXIT status: work_conserving_broken=False cfs_util_decay_broken=False rt_util_decay_broken=False
