2026-04-16 21:10:00,965 STEP: op=8,0,0,0 executed_steps=2 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:01,000 STEP: op=13,0,1,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:01,127 STEP: op=5,3,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'sleeping', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:02,086 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'sleeping', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:02,086 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'sleeping', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:02,087 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'sleeping', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:02,087 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'sleeping', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:02,087 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'sleeping', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:02,087 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'sleeping', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:02,087 STEP: op=8,0,0,0 executed_steps=7 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable', 3: 'sleeping', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:02,298 STEP: op=6,3,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,905 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:04,906 STEP: op=8,0,0,0 executed_steps=16 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'on_cpu'} kthread_state={}
2026-04-16 21:10:05,068 STEP: op=5,4,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'sleeping'} kthread_state={}
2026-04-16 21:10:05,220 STEP: op=5,2,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'runnable', 4: 'sleeping'} kthread_state={}
2026-04-16 21:10:05,371 STEP: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'sleeping', 3: 'runnable', 4: 'sleeping'} kthread_state={}
2026-04-16 21:10:05,594 STEP: op=7,1,-6,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'sleeping', 3: 'runnable', 4: 'sleeping'} kthread_state={}
2026-04-16 21:10:05,792 STEP: op=6,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'sleeping'} kthread_state={}
2026-04-16 21:10:05,898 STEP: op=6,4,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:06,020 STEP: op=6,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:10:06,059 STEP: op=12,0,3231,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
